id,name,x,y,faction1,faction2,faction3,faction4,indType,factories,polType
1,A Place,-123.764,272.182,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
2,Aalzorg,583.881,256.931,null,null,null,null,Other,0,Other
3,Abadan,-70.319,-95.949,FWL,Marik Commonwealth,null,null,Other,0,Other
4,Abagnar,380.231,314.823,DC,Pesht Military District,Ningxia Prefecture,null,Other,0,Other
5,Abbadiyah,-317.967,246.551,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
6,Abbeville,605.903,-39.852,FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ,Other,0,Other
7,Abejorral,-299.341,127.388,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
8,Aberystwyth,-430.967,58.633,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
9,Abiy Adi,349.466,314.567,DC,Pesht Military District,Ningxia Prefecture,null,Other,0,Other
10,Aboukir,-419.964,287.637,null,null,null,null,Other,0,Other
11,Abramkovo,-330.860,-28.739,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
12,Abruzzi,149.392,-304.327,FS,Capellan March,Taygeta Operational Area,Sirdar PDZ,Other,0,Other
13,Abushiri,-267.585,326.475,null,null,null,null,Other,0,Other
14,Acala,134.156,-124.340,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Other,0,Other
15,Acamar,39.543,-38.565,CC,Tikonov Commonality,Region 5,null,Other,0,Other
16,Accrington,-10.088,144.968,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
17,Achilles,44.858,-132.111,null,null,null,null,Other,0,Other
18,Achnoly,638.819,199.142,null,null,null,null,Other,0,Other
19,Achton,632.323,190.916,null,null,null,null,Other,0,Other
20,Acoma,224.416,-62.259,null,null,null,null,Other,0,Other
21,Aconcagua,-275.030,-189.625,FWL,null,null,null,Other,0,Other
22,Acrux,-352.026,40.745,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
23,Acubens,-52.221,-50.716,FWL,null,null,null,Other,0,Other
24,Ad Duwayd,361.884,374.511,DC,Pesht Military District,Qandahar Prefecture,null,Other,0,Other
25,Addasar,-29.439,-516.520,MOC,null,null,null,Other,0,Other
26,Addicks,71.439,-0.696,FS,Draconis March,Robinson Operational Area,Addicks PDZ,Other,0,Other
27,Adelaide,-250.471,315.316,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
28,Adelson,472.766,-245.354,FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region,Other,0,Other
29,Adhafera,-105.278,-51.227,FWL,Stewart Commonality,null,null,Other,0,Other
30,Adhara,-123.314,-468.960,MOC,null,null,null,Other,0,Other
31,Adherlwin,-134.304,-418.682,MOC,null,null,null,Other,0,Other
32,Adler,155.257,-210.669,null,null,null,null,Other,0,Other
33,Adrar,-4.382,-409.233,null,null,null,null,Other,0,Other
34,Adrian,449.254,28.130,FS,Draconis March,Woodbine Operational Area,Milligan PDZ,Other,0,Other
35,Aer,55.145,-187.635,null,null,null,null,Other,0,Other
36,Afarsin,-216.314,-369.872,MOC,null,null,null,Other,0,Other
37,Afleir,-51.281,-2.977,null,null,null,null,Other,0,Other
38,Agador,69.791,51.650,DC,Dieron Military District,Ashio Prefecture,null,Other,0,Other
39,Agematsu,253.838,185.545,DC,Galedon Military District,Oshika Prefecture,null,Other,0,Other
40,Aggstein,219.606,-203.110,null,null,null,null,Other,0,Other
41,Agliana,389.805,-289.562,FS,Crucis March,Chirikof Operational Area,Kearny Combat Region,Other,0,Other
42,Agmond,395.843,-140.358,null,null,null,null,Other,0,Other
43,Aigle,-234.767,-19.069,null,null,null,null,Other,0,Other
44,Aiguebelle,-384.879,101.539,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
45,Aitutaki,-164.636,-166.561,FWL,Principality of Regulus,null,null,Other,0,Other
46,Aix-la-Chapelle,76.599,162.627,DC,Benjamin Military District,Benjamin Prefecture,null,Other,0,Other
47,Akfata,-381.799,176.248,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
48,Al Hillah,-25.374,178.710,DC,Rasalhague Military District,Rubigen Prefecture,null,Other,0,Other
49,Al Jafr,-412.829,12.108,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
50,Al Jubaylah,-183.766,-281.832,FWL,null,null,null,Other,0,Other
51,Al Na'ir,60.097,31.239,DC,Dieron Military District,Al Na'ir Prefecture,null,Minor Industrial,1,Minor Capital
52,Alarion,-319.706,138.602,LC,Protectorate of Donegal,Alarion Province,null,Major Industrial,3,Minor Capital
53,Albalii,71.079,78.532,DC,Dieron Military District,Ashio Prefecture,null,Other,0,Other
54,Albert Falls,-259.830,-132.288,FWL,null,null,null,Other,0,Other
55,Albion,-284.426,143.518,null,null,null,null,Other,0,Other
56,Alchiba,-67.732,1.767,LC,Federation of Skye,Isle of Skye,null,Other,0,Other
57,Alcor,-74.708,28.904,LC,Federation of Skye,Isle of Skye,null,Other,0,Other
58,Alcyone,129.758,-197.583,FS,Capellan March,Kathil Operational Area,Alcyone PDZ,Other,0,Other
59,Aldebaran,24.813,-64.414,CC,Tikonov Commonality,Region 9,null,Other,0,Other
60,Aldertaine,44.714,-191.043,CC,Capella Commonality,Region 2,null,Other,0,Other
61,Aldrecht,150.833,88.192,null,null,null,null,Other,0,Other
62,Alegro,429.841,144.618,OA,Ramora Province,null,null,Other,0,Other
63,Alekseyevka,-403.504,183.741,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
64,Alexandria,110.827,-356.104,null,null,null,null,Other,0,Other
65,Alexandria,-57.639,115.993,LC,Federation of Skye,Virginia Shire,null,Other,0,Minor Capital
66,Alfirk,588.602,454.172,I(H),null,null,null,Other,0,Other
67,Algate,323.626,378.128,DC,Pesht Military District,Qandahar Prefecture,null,Other,0,Other
68,Algedi,66.070,94.935,DC,Dieron Military District,Algedi Prefecture,null,Other,0,Minor Capital
69,Algol,64.875,-67.773,CC,Tikonov Commonality,Region 7,null,Other,0,Other
70,Algorab,-114.838,13.767,LC,Federation of Skye,Rahneshire,null,Other,0,Other
71,Algot,85.816,-82.771,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Other,0,Other
72,Alhena,-82.471,-14.518,FWL,null,null,null,Other,0,Other
73,Alioth,-58.940,13.908,LC,Federation of Skye,Isle of Skye,null,Other,0,Other
74,Alkaid,-94.096,47.002,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
75,Alkalurops,-35.935,45.191,LC,Federation of Skye,Isle of Skye,null,Other,0,Other
76,Alkes,-114.781,-30.813,FWL,Silver Hawks Coalition,null,null,Other,0,Other
77,Alktral,724.382,250.530,null,null,null,null,Other,0,Other
78,All Dawn,-459.307,154.018,I,null,null,null,Other,0,Other
79,Alleghe,-9.837,406.051,DC,Rasalhague Military District,Kirchbach Prefecture,null,Other,0,Other
80,Allerton,263.404,7.187,FS,Draconis March,Robinson Operational Area,Le Blanc PDZ,Other,0,Other
81,Alma Alta,-183.568,186.071,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
82,Almach,100.804,-61.569,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Other,0,Other
83,Almunge,163.624,396.997,DC,Pesht Military District,Albiero Prefecture,null,Other,0,Other
84,Alnadal,157.309,20.188,null,null,null,null,Other,0,Other
85,Gamma Sagittarius,2.838,116.017,DC,Dieron Military District,Vega Prefecture,null,Other,0,Other
86,Alorton,-353.648,-85.871,FWL,null,null,null,Other,0,Other
87,Alpha Eridani,77.285,-32.361,CC,Tikonov Commonality,Region 6,null,Other,0,Other
88,Alphard,-65.403,-52.005,FWL,null,null,null,Other,0,Other
89,Alphecca,-46.790,61.987,LC,Federation of Skye,Isle of Skye,null,Other,0,Other
90,Alpheratz,502.785,152.898,OA,Alpheratz Province,null,null,Minor Industrial,1,Faction Capital
91,Alrakis,-19.908,81.891,DC,Dieron Military District,Kessel Prefecture,null,Other,0,Other
92,Alrescha,84.520,-49.416,CC,Tikonov Commonality,Tikonov Commonality,null,Other,0,Other
93,Alsek,315.617,-238.123,FS,Crucis March,Chirikof Operational Area,Remagen Combat Region,Other,0,Other
94,Alshain,58.344,278.846,DC,Rasalhague Military District,Alshain Prefecture,null,Minor Industrial,2,Minor Capital
95,Alta,-191.246,-218.099,null,null,null,null,Other,0,Other
96,Alta Vista,506.635,12.881,FS,Draconis March,Woodbine Operational Area,Milligan PDZ,Other,0,Other
97,Altair,8.836,13.754,DC,Dieron Military District,Al Na'ir Prefecture,null,Minor Industrial,1,Other
98,Altais,37.222,109.811,DC,Dieron Military District,Algedi Prefecture,null,Other,0,Other
99,Altdorf,333.189,119.374,DC,Galedon Military District,Kaznejoy Prefecture,null,Other,0,Other
100,Altenmarkt,13.692,223.805,DC,Rasalhague Military District,Rubigen Prefecture,null,Other,0,Other
101,Alterf,-203.986,-154.867,FWL,Marik Commonwealth,null,null,Other,0,Other
102,Althastan,-432.453,-26.150,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
103,Althea's Choice,380.171,-340.187,TC,null,null,null,Other,0,Other
104,Alto,106.484,-194.180,null,null,null,null,Other,0,Other
105,Altona,283.553,421.581,DC,Pesht Military District,Bjarred Prefecture,null,Other,0,Other
106,Altoona,550.569,-4.176,FS,Draconis March,Woodbine Operational Area,Milligan PDZ,Other,0,Other
107,Altoona,-256.607,-6.274,null,null,null,null,Other,0,Other
108,Altorra,-2.852,-263.495,CC,Sian Commonality,Region 2,null,Other,0,Other
109,Alula Borealis,-258.995,-54.076,FWL,null,null,null,Other,0,Other
110,Alya,26.359,96.629,DC,Dieron Military District,Algedi Prefecture,null,Other,0,Other
111,Alyina,-134.910,340.912,LC,Tamar Pact,Trellshire,null,Other,0,Other
112,Ambatomainty,701.409,175.022,null,null,null,null,Other,0,Other
113,Amber,281.994,-377.916,null,null,null,null,Other,0,Other
114,Amber Grove,272.879,-362.394,TC,Perdition Union,null,null,Other,0,Other
115,Ambergrist,83.482,-257.545,CC,St. Ives Commonality,Region 3,null,Other,0,Other
116,Ambrose,-226.176,427.523,null,null,null,null,Other,0,Other
117,Amiga,165.170,-84.574,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
118,Amity,-128.955,-30.813,FWL,Silver Hawks Coalition,null,null,Other,0,Other
119,Amminadav,-411.245,199.515,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
120,Ammon,624.274,213.175,null,null,null,null,Other,0,Other
121,Amu Darya,33.408,-338.234,null,null,null,null,Other,0,Other
122,An Ting,301.652,109.811,DC,Galedon Military District,Matsuida Prefecture,null,Other,0,Other
123,Anaea,141.276,-115.621,null,null,null,null,Other,0,Other
124,Anaheim,299.331,-311.764,FS,Capellan March,Taygeta Operational Area,Warren PDZ,Other,0,Other
125,Anatolia,-432.787,276.444,null,null,null,null,Other,0,Other
